source_file	kind	raw	target
wiki/speech/new-sources.md	md	[`Cubox/Anthropic产品负责人：面了上百个产品经理后…`](../../Cubox/Anthropic产品负责人：面了上百个产品经理后，发现大多人缺少的是这种底层思维方式（下篇）-2026-06-06.md)	../../Cubox/Anthropic产品负责人：面了上百个产品经理后，发现大多人缺少的是这种底层思维方式（下篇）-2026-06-06.md
wiki/speech/new-sources.md	md	[`Cubox/AI in Design Report 2026…`](../../Cubox/AI%20in%20Design%20Report%202026：设计师正在从使用AI转向围绕AI重建工作-2026-06-06.md)	../../Cubox/AI%20in%20Design%20Report%202026：设计师正在从使用AI转向围绕AI重建工作-2026-06-06.md
wiki/speech/new-sources.md	md	[`Cubox/136K Stars 的 OpenCode…`](../../Cubox/136K%20Stars%20的%20OpenCode%20凭什么碾压%20Claude%20Code%20SDK？TUI%20界面都能被插件替换，Claude%20Code%20一个像素都动不了-2026-06-07.md)	../../Cubox/136K%20Stars%20的%20OpenCode%20凭什么碾压%20Claude%20Code%20SDK？TUI%20界面都能被插件替换，Claude%20Code%20一个像素都动不了-2026-06-07.md
wiki/speech/new-sources.md	md	[`Cubox/Google 产品 CodeWiki…`](../../Cubox/Google%20产品%20CodeWiki%20可以帮你理解代码库-2026-06-07.md)	../../Cubox/Google%20产品%20CodeWiki%20可以帮你理解代码库-2026-06-07.md
wiki/speech/new-sources.md	md	[`Cubox/MiniMax M3 首发体验…`](../../Cubox/MiniMax%20M3%20首发体验：被挤崩、被惊艳，接入%20Codex%20后也真香-2026-06-03.md)	../../Cubox/MiniMax%20M3%20首发体验：被挤崩、被惊艳，接入%20Codex%20后也真香-2026-06-03.md
wiki/speech/new-sources.md	md	[`Cubox/太强了！可编程Markdown排版神器…`](../../Cubox/太强了！可编程Markdown排版神器，一键出书论文幻灯片-2026-06-02.md)	../../Cubox/太强了！可编程Markdown排版神器，一键出书论文幻灯片-2026-06-02.md
wiki/speech/new-sources.md	md	[`Cubox/最恐怖的 AI 实验…`](../../Cubox/最恐怖的%20AI%20实验：%20没有法律的虚拟城镇，几十个%20Agent%20互砍成《西部世界》-2026-06-06.md)	../../Cubox/最恐怖的%20AI%20实验：%20没有法律的虚拟城镇，几十个%20Agent%20互砍成《西部世界》-2026-06-06.md
wiki/speech/new-sources.md	md	[`Cubox/PawBench…`](../../Cubox/PawBench：给通用智能体一把可度量的尺-2026-06-05.md)	../../Cubox/PawBench：给通用智能体一把可度量的尺-2026-06-05.md
wiki/speech/outline-v2.md	md	[`raw/design/2024-12-16-李继刚-当我们讲Prompt时我们到底在说什么.md`](../../raw/design/2024-12-16-李继刚-当我们讲Prompt时我们到底在说什么.md)	../../raw/design/2024-12-16-李继刚-当我们讲Prompt时我们到底在说什么.md
wiki/speech/plan.md	md	[`wiki/speech/outline-v1.md`](outline-v1.md)	outline-v1.md
wiki/speech/plan.md	md	[`wiki/speech/outline-v2.md`](outline-v2.md)	outline-v2.md
wiki/speech/plan.md	md	[`wiki/speech/sources.md`](sources.md)	sources.md
wiki/speech/plan.md	md	[`wiki/speech/new-sources.md`](new-sources.md)	new-sources.md
wiki/speech/plan.md	md	[`wiki/speech/idea-fragments.md`](idea-fragments.md)	idea-fragments.md
wiki/speech/plan.md	md	[`wiki/speech/plan.md`](plan.md)	plan.md
wiki/speech/sources.md	md	[yt-talks/v4F1gFy-hqg](yt-talks/软件基础比以往更重要_Software-Fundamentals-Matter-More-Than-Ever-Matt-Pocock_v4F1gFy-hqg.md)	yt-talks/软件基础比以往更重要_Software-Fundamentals-Matter-More-Than-Ever-Matt-Pocock_v4F1gFy-hqg.md
wiki/speech/sources.md	md	[yt-talks/ttkd0t5qTD4](yt-talks/姚顺宇在Anthropic和Gemini训练模型_Yao-Shunyu-Training-Models-at-Anthropic-Gemini_ttkd0t5qTD4.md)	yt-talks/姚顺宇在Anthropic和Gemini训练模型_Yao-Shunyu-Training-Models-at-Anthropic-Gemini_ttkd0t5qTD4.md
wiki/speech/sources.md	md	[yt-talks/GOtHFZnagO0](yt-talks/设计师如何使用Codex_How-to-Use-Codex-as-a-Designer_GOtHFZnagO0.md)	yt-talks/设计师如何使用Codex_How-to-Use-Codex-as-a-Designer_GOtHFZnagO0.md
wiki/speech/sources.md	md	[yt-talks/I0DrcsDf3Os](yt-talks/翁家翌谈OpenAI强化学习与后训练基础设施_Weng-Jiayi-OpenAI-RL-Post-Training-Infra_I0DrcsDf3Os.md)	yt-talks/翁家翌谈OpenAI强化学习与后训练基础设施_Weng-Jiayi-OpenAI-RL-Post-Training-Infra_I0DrcsDf3Os.md
wiki/speech/sources.md	md	[yt-talks/Uvl-tRga98g](yt-talks/Uvl-tRga98g_Designing-with-Claude-from-Prompt-to-Production.md)	yt-talks/Uvl-tRga98g_Designing-with-Claude-from-Prompt-to-Production.md
wiki/speech/yt-talks/CLAUDE.md	md	[catui.md](../../../catui.md)	../../../catui.md
wiki/speech/yt-talks/CLAUDE.md	md	[软件基础比以往更重要_Software-Fundamentals-Matter-More-Than-Ever-Matt-Pocock_v4F1gFy-hqg.md](软件基础比以往更重要_Software-Fundamentals-Matter-More-Than-Ever-Matt-Pocock_v4F1gFy-hqg.md)	软件基础比以往更重要_Software-Fundamentals-Matter-More-Than-Ever-Matt-Pocock_v4F1gFy-hqg.md
wiki/speech/yt-talks/CLAUDE.md	md	[姚顺宇在Anthropic和Gemini训练模型_Yao-Shunyu-Training-Models-at-Anthropic-Gemini_ttkd0t5qTD4.md](姚顺宇在Anthropic和Gemini训练模型_Yao-Shunyu-Training-Models-at-Anthropic-Gemini_ttkd0t5qTD4.md)	姚顺宇在Anthropic和Gemini训练模型_Yao-Shunyu-Training-Models-at-Anthropic-Gemini_ttkd0t5qTD4.md
wiki/speech/yt-talks/CLAUDE.md	md	[设计师如何使用Codex_How-to-Use-Codex-as-a-Designer_GOtHFZnagO0.md](设计师如何使用Codex_How-to-Use-Codex-as-a-Designer_GOtHFZnagO0.md)	设计师如何使用Codex_How-to-Use-Codex-as-a-Designer_GOtHFZnagO0.md
wiki/speech/yt-talks/CLAUDE.md	md	[翁家翌谈OpenAI强化学习与后训练基础设施_Weng-Jiayi-OpenAI-RL-Post-Training-Infra_I0DrcsDf3Os.md](翁家翌谈OpenAI强化学习与后训练基础设施_Weng-Jiayi-OpenAI-RL-Post-Training-Infra_I0DrcsDf3Os.md)	翁家翌谈OpenAI强化学习与后训练基础设施_Weng-Jiayi-OpenAI-RL-Post-Training-Infra_I0DrcsDf3Os.md
wiki/speech/yt-talks/CLAUDE.md	md	[Uvl-tRga98g_Designing-with-Claude-from-Prompt-to-Production.md](Uvl-tRga98g_Designing-with-Claude-from-Prompt-to-Production.md)	Uvl-tRga98g_Designing-with-Claude-from-Prompt-to-Production.md
wiki/speech/yt-talks/CLAUDE.md	md	[Claude-Architect多智能体编排_Claude-Architect-Multi-Agent-Orchestration_vRYBG_R8JAI_完整中文版.md](Claude-Architect多智能体编排_Claude-Architect-Multi-Agent-Orchestration_vRYBG_R8JAI_完整中文版.md)	Claude-Architect多智能体编排_Claude-Architect-Multi-Agent-Orchestration_vRYBG_R8JAI_完整中文版.md
wiki/speech/yt-talks/CLAUDE.md	md	[把Claude-Code变成设计天才_Turn-Claude-Code-into-a-Design-GENIUS_fVPCbCH_c1c.md](把Claude-Code变成设计天才_Turn-Claude-Code-into-a-Design-GENIUS_fVPCbCH_c1c.md)	把Claude-Code变成设计天才_Turn-Claude-Code-into-a-Design-GENIUS_fVPCbCH_c1c.md
wiki/speech/yt-talks/CLAUDE.md	md	[Cursor的Ryo-Lu谈设计活工具与编程未来_8ncYSGbfeyY.md](Cursor的Ryo-Lu谈设计活工具与编程未来_8ncYSGbfeyY.md)	Cursor的Ryo-Lu谈设计活工具与编程未来_8ncYSGbfeyY.md
wiki/speech/yt-talks/CLAUDE.md	md	[Framer发布会介绍Agents与分支_Framer-Event-Introducing-Agents-Branching-and-a-new-Community_j4WW4bwWhPk.md](Framer发布会介绍Agents与分支_Framer-Event-Introducing-Agents-Branching-and-a-new-Community_j4WW4bwWhPk.md)	Framer发布会介绍Agents与分支_Framer-Event-Introducing-Agents-Branching-and-a-new-Community_j4WW4bwWhPk.md
wiki/speech/yt-talks/CLAUDE.md	md	[Ryo-Lu谈AI将设计师变为开发者_Ryo-Lu-Cursor-AI-Turns-Designers-to-Developers_PQhcHrCyU8M.md](Ryo-Lu谈AI将设计师变为开发者_Ryo-Lu-Cursor-AI-Turns-Designers-to-Developers_PQhcHrCyU8M.md)	Ryo-Lu谈AI将设计师变为开发者_Ryo-Lu-Cursor-AI-Turns-Designers-to-Developers_PQhcHrCyU8M.md
wiki/speech/yt-talks/CLAUDE.md	md	[speech/sources.md](../sources.md)	../sources.md
wiki/speech/yt-talks/CLAUDE.md	md	[speech/outline-v1.md](../outline-v1.md)	../outline-v1.md
wiki/speech/yt-talks/CLAUDE.md	md	[speech/outline-v2.md](../outline-v2.md)	../outline-v2.md
wiki/speech/yt-talks/CLAUDE.md	md	[raw/来自Youtube/](../../../raw/来自Youtube/)	../../../raw/来自Youtube/
